id,marathi_text,modi_text,char_len
104,विज्ञान आणि तंत्रज्ञान वेगाने प्रगती करत आहे.,𑘪𑘱𑘕𑘿𑘗𑘰𑘡 𑘁𑘜𑘱 𑘝𑘽𑘝𑘿𑘨𑘕𑘿𑘗𑘰𑘡 𑘪𑘹𑘐𑘰𑘡𑘹 𑘢𑘿𑘨𑘐𑘝𑘲 𑘎𑘨𑘝 𑘁𑘮𑘹.,45
105,संगणक शास्त्रात नवीन शोध लागत आहेत.,𑘭𑘽𑘐𑘜𑘎 𑘫𑘰𑘭𑘿𑘝𑘿𑘨𑘰𑘝 𑘡𑘪𑘲𑘡 𑘫𑘻𑘠 𑘩𑘰𑘐𑘝 𑘁𑘮𑘹𑘝.,35
106,कृत्रिम बुद्धिमत्ता हे भविष्यातील तंत्रज्ञान आहे.,𑘎𑘵𑘝𑘿𑘨𑘱𑘦 𑘤𑘳𑘟𑘿𑘠𑘱𑘦𑘝𑘿𑘝𑘰 𑘮𑘹 𑘥𑘪𑘱𑘬𑘿𑘧𑘰𑘝𑘲𑘩 𑘝𑘽𑘝𑘿𑘨𑘕𑘿𑘗𑘰𑘡 𑘁𑘮𑘹.,49
107,ऐतिहासिक लिप्यांचे जतन करणे महत्त्वाचे आहे.,𑘋𑘝𑘱𑘮𑘰𑘭𑘱𑘎 𑘩𑘱𑘢𑘿𑘧𑘰𑘽𑘓𑘹 𑘕𑘝𑘡 𑘎𑘨𑘜𑘹 𑘦𑘮𑘝𑘿𑘝𑘿𑘪𑘰𑘓𑘹 𑘁𑘮𑘹.,43
108,मोडी लिपीचे पुनरुज्जीवन करण्याचे प्रयत्न सुरू आहेत.,𑘦𑘻𑘚𑘲 𑘩𑘱𑘢𑘲𑘓𑘹 𑘢𑘳𑘡𑘨𑘳𑘕𑘿𑘕𑘲𑘪𑘡 𑘎𑘨𑘜𑘿𑘧𑘰𑘓𑘹 𑘢𑘿𑘨𑘧𑘝𑘿𑘡 𑘭𑘳𑘨𑘴 𑘁𑘮𑘹𑘝.,51
109,जुन्या हस्तलिखितांचे डिजिटायझेशन आवश्यक आहे.,𑘕𑘳𑘡𑘿𑘧𑘰 𑘮𑘭𑘿𑘝𑘩𑘱𑘏𑘱𑘝𑘰𑘽𑘓𑘹 𑘚𑘱𑘕𑘱𑘘𑘰𑘧𑘖𑘹𑘫𑘡 𑘁𑘪𑘫𑘿𑘧𑘎 𑘁𑘮𑘹.,44
110,संशोधकांनी या दस्तऐवजाचा अभ्यास केला.,𑘭𑘽𑘫𑘻𑘠𑘎𑘰𑘽𑘡𑘲 𑘧𑘰 𑘟𑘭𑘿𑘝𑘋𑘪𑘕𑘰𑘓𑘰 𑘀𑘥𑘿𑘧𑘰𑘭 𑘎𑘹𑘩𑘰.,37
111,विद्यापीठात या विषयावर संशोधन चालू आहे.,𑘪𑘱𑘟𑘿𑘧𑘰𑘢𑘲𑘙𑘰𑘝 𑘧𑘰 𑘪𑘱𑘬𑘧𑘰𑘪𑘨 𑘭𑘽𑘫𑘻𑘠𑘡 𑘓𑘰𑘩𑘴 𑘁𑘮𑘹.,39
112,प्रकल्पाचे काम वेळेत पूर्ण करावे लागेल.,𑘢𑘿𑘨𑘎𑘩𑘿𑘢𑘰𑘓𑘹 𑘎𑘰𑘦 𑘪𑘹𑘯𑘹𑘝 𑘢𑘴𑘨𑘿𑘜 𑘎𑘨𑘰𑘪𑘹 𑘩𑘰𑘐𑘹𑘩.,39
113,संगणकीय प्रणाली या कामासाठी वापरली जाईल.,𑘭𑘽𑘐𑘜𑘎𑘲𑘧 𑘢𑘿𑘨𑘜𑘰𑘩𑘲 𑘧𑘰 𑘎𑘰𑘦𑘰𑘭𑘰𑘙𑘲 𑘪𑘰𑘢𑘨𑘩𑘲 𑘕𑘰𑘃𑘩.,40
114,प्रतिमा स्वच्छ करून मजकूर वाचता येईल.,𑘢𑘿𑘨𑘝𑘱𑘦𑘰 𑘭𑘿𑘪𑘓𑘿𑘔 𑘎𑘨𑘴𑘡 𑘦𑘕𑘎𑘴𑘨 𑘪𑘰𑘓𑘝𑘰 𑘧𑘹𑘃𑘩.,37
115,जुने दस्तऐवज वाचणे कठीण असते.,𑘕𑘳𑘡𑘹 𑘟𑘭𑘿𑘝𑘋𑘪𑘕 𑘪𑘰𑘓𑘜𑘹 𑘎𑘙𑘲𑘜 𑘀𑘭𑘝𑘹.,29
116,शाई फिकट झाल्यामुळे अक्षरे अस्पष्ट दिसतात.,𑘫𑘰𑘃 𑘣𑘱𑘎𑘘 𑘖𑘰𑘩𑘿𑘧𑘰𑘦𑘳𑘯𑘹 𑘀𑘎𑘿𑘬𑘨𑘹 𑘀𑘭𑘿𑘢𑘬𑘿𑘘 𑘟𑘱𑘭𑘝𑘰𑘝.,42
117,कागद जुना झाल्यामुळे फाटलेला आहे.,𑘎𑘰𑘐𑘟 𑘕𑘳𑘡𑘰 𑘖𑘰𑘩𑘿𑘧𑘰𑘦𑘳𑘯𑘹 𑘣𑘰𑘘𑘩𑘹𑘩𑘰 𑘁𑘮𑘹.,33
118,या हस्तलिखितात अनेक पाने आहेत.,𑘧𑘰 𑘮𑘭𑘿𑘝𑘩𑘱𑘏𑘱𑘝𑘰𑘝 𑘀𑘡𑘹𑘎 𑘢𑘰𑘡𑘹 𑘁𑘮𑘹𑘝.,30
119,प्रत्येक पानावर वेगळी माहिती आहे.,𑘢𑘿𑘨𑘝𑘿𑘧𑘹𑘎 𑘢𑘰𑘡𑘰𑘪𑘨 𑘪𑘹𑘐𑘯𑘲 𑘦𑘰𑘮𑘱𑘝𑘲 𑘁𑘮𑘹.,33
120,तारीख अठराशे साठ साली नोंदवलेली आहे.,𑘝𑘰𑘨𑘲𑘏 𑘀𑘙𑘨𑘰𑘫𑘹 𑘭𑘰𑘙 𑘭𑘰𑘩𑘲 𑘡𑘻𑘽𑘟𑘪𑘩𑘹𑘩𑘲 𑘁𑘮𑘹.,36
121,हा दस्तऐवज पेशवे काळातील आहे.,𑘮𑘰 𑘟𑘭𑘿𑘝𑘋𑘪𑘕 𑘢𑘹𑘫𑘪𑘹 𑘎𑘰𑘯𑘰𑘝𑘲𑘩 𑘁𑘮𑘹.,29
122,शिवकालीन कागदपत्रे दुर्मिळ आहेत.,𑘫𑘱𑘪𑘎𑘰𑘩𑘲𑘡 𑘎𑘰𑘐𑘟𑘢𑘝𑘿𑘨𑘹 𑘟𑘳𑘨𑘿𑘦𑘱𑘯 𑘁𑘮𑘹𑘝.,32
123,इंग्रज काळातही मोडी लिपीचा वापर होत असे.,𑘂𑘽𑘐𑘿𑘨𑘕 𑘎𑘰𑘯𑘰𑘝𑘮𑘲 𑘦𑘻𑘚𑘲 𑘩𑘱𑘢𑘲𑘓𑘰 𑘪𑘰𑘢𑘨 𑘮𑘻𑘝 𑘀𑘭𑘹.,40
124,नंतर देवनागरी लिपी अधिकृत झाली.,𑘡𑘽𑘝𑘨 𑘟𑘹𑘪𑘡𑘰𑘐𑘨𑘲 𑘩𑘱𑘢𑘲 𑘀𑘠𑘱𑘎𑘵𑘝 𑘖𑘰𑘩𑘲.,31
125,आजही काही जुन्या नोंदी मोडी लिपीत आहेत.,𑘁𑘕𑘮𑘲 𑘎𑘰𑘮𑘲 𑘕𑘳𑘡𑘿𑘧𑘰 𑘡𑘻𑘽𑘟𑘲 𑘦𑘻𑘚𑘲 𑘩𑘱𑘢𑘲𑘝 𑘁𑘮𑘹𑘝.,39
126,या नोंदींमध्ये महसूल आणि जमिनीची माहिती आहे.,𑘧𑘰 𑘡𑘻𑘽𑘟𑘲𑘽𑘦𑘠𑘿𑘧𑘹 𑘦𑘮𑘭𑘴𑘩 𑘁𑘜𑘱 𑘕𑘦𑘱𑘡𑘲𑘓𑘲 𑘦𑘰𑘮𑘱𑘝𑘲 𑘁𑘮𑘹.,44
127,गावाच्या सीमा या कागदपत्रात नमूद आहेत.,𑘐𑘰𑘪𑘰𑘓𑘿𑘧𑘰 𑘭𑘲𑘦𑘰 𑘧𑘰 𑘎𑘰𑘐𑘟𑘢𑘝𑘿𑘨𑘰𑘝 𑘡𑘦𑘴𑘟 𑘁𑘮𑘹𑘝.,38
128,पिकांची नोंद दरवर्षी केली जात असे.,𑘢𑘱𑘎𑘰𑘽𑘓𑘲 𑘡𑘻𑘽𑘟 𑘟𑘨𑘪𑘨𑘿𑘬𑘲 𑘎𑘹𑘩𑘲 𑘕𑘰𑘝 𑘀𑘭𑘹.,34
129,कराचा हिशोब यात लिहिलेला आहे.,𑘎𑘨𑘰𑘓𑘰 𑘮𑘱𑘫𑘻𑘤 𑘧𑘰𑘝 𑘩𑘱𑘮𑘱𑘩𑘹𑘩𑘰 𑘁𑘮𑘹.,29
130,साक्षीदारांची नावे शेवटी लिहिली आहेत.,𑘭𑘰𑘎𑘿𑘬𑘲𑘟𑘰𑘨𑘰𑘽𑘓𑘲 𑘡𑘰𑘪𑘹 𑘫𑘹𑘪𑘘𑘲 𑘩𑘱𑘮𑘱𑘩𑘲 𑘁𑘮𑘹𑘝.,37
131,या दस्तऐवजावर राजमुद्रा आहे.,𑘧𑘰 𑘟𑘭𑘿𑘝𑘋𑘪𑘕𑘰𑘪𑘨 𑘨𑘰𑘕𑘦𑘳𑘟𑘿𑘨𑘰 𑘁𑘮𑘹.,28
132,शिक्का हा अधिकृततेचे प्रतीक आहे.,𑘫𑘱𑘎𑘿𑘎𑘰 𑘮𑘰 𑘀𑘠𑘱𑘎𑘵𑘝𑘝𑘹𑘓𑘹 𑘢𑘿𑘨𑘝𑘲𑘎 𑘁𑘮𑘹.,32
133,पत्रावर सही आणि तारीख आहे.,𑘢𑘝𑘿𑘨𑘰𑘪𑘨 𑘭𑘮𑘲 𑘁𑘜𑘱 𑘝𑘰𑘨𑘲𑘏 𑘁𑘮𑘹.,26
134,हे पत्र मराठी भाषेत लिहिलेले आहे.,𑘮𑘹 𑘢𑘝𑘿𑘨 𑘦𑘨𑘰𑘙𑘲 𑘥𑘰𑘬𑘹𑘝 𑘩𑘱𑘮𑘱𑘩𑘹𑘩𑘹 𑘁𑘮𑘹.,33
135,अक्षरांचा आकार वेगवेगळा आहे.,𑘀𑘎𑘿𑘬𑘨𑘰𑘽𑘓𑘰 𑘁𑘎𑘰𑘨 𑘪𑘹𑘐𑘪𑘹𑘐𑘯𑘰 𑘁𑘮𑘹.,28
136,काही शब्द वाचणे अवघड जाते.,𑘎𑘰𑘮𑘲 𑘫𑘤𑘿𑘟 𑘪𑘰𑘓𑘜𑘹 𑘀𑘪𑘑𑘚 𑘕𑘰𑘝𑘹.,26
137,तज्ज्ञांच्या मदतीने मजकूर उलगडला जातो.,𑘝𑘕𑘿𑘕𑘿𑘗𑘰𑘽𑘓𑘿𑘧𑘰 𑘦𑘟𑘝𑘲𑘡𑘹 𑘦𑘕𑘎𑘴𑘨 𑘄𑘩𑘐𑘚𑘩𑘰 𑘕𑘰𑘝𑘻.,38
138,भाषातज्ज्ञ या लिपीचा अभ्यास करतात.,𑘥𑘰𑘬𑘰𑘝𑘕𑘿𑘕𑘿𑘗 𑘧𑘰 𑘩𑘱𑘢𑘲𑘓𑘰 𑘀𑘥𑘿𑘧𑘰𑘭 𑘎𑘨𑘝𑘰𑘝.,34
139,विद्यार्थी या प्रकल्पावर काम करत आहेत.,𑘪𑘱𑘟𑘿𑘧𑘰𑘨𑘿𑘞𑘲 𑘧𑘰 𑘢𑘿𑘨𑘎𑘩𑘿𑘢𑘰𑘪𑘨 𑘎𑘰𑘦 𑘎𑘨𑘝 𑘁𑘮𑘹𑘝.,38
140,स्पर्धेसाठी हा प्रकल्प तयार केला आहे.,𑘭𑘿𑘢𑘨𑘿𑘠𑘹𑘭𑘰𑘙𑘲 𑘮𑘰 𑘢𑘿𑘨𑘎𑘩𑘿𑘢 𑘝𑘧𑘰𑘨 𑘎𑘹𑘩𑘰 𑘁𑘮𑘹.,37
141,वेळेचे नियोजन करणे महत्त्वाचे आहे.,𑘪𑘹𑘯𑘹𑘓𑘹 𑘡𑘱𑘧𑘻𑘕𑘡 𑘎𑘨𑘜𑘹 𑘦𑘮𑘝𑘿𑘝𑘿𑘪𑘰𑘓𑘹 𑘁𑘮𑘹.,34
142,कमी वेळात चांगले काम करणे आव्हान आहे.,𑘎𑘦𑘲 𑘪𑘹𑘯𑘰𑘝 𑘓𑘰𑘽𑘐𑘩𑘹 𑘎𑘰𑘦 𑘎𑘨𑘜𑘹 𑘁𑘪𑘿𑘮𑘰𑘡 𑘁𑘮𑘹.,37
143,संघकार्य यशाची गुरुकिल्ली आहे.,𑘭𑘽𑘑𑘎𑘰𑘨𑘿𑘧 𑘧𑘫𑘰𑘓𑘲 𑘐𑘳𑘨𑘳𑘎𑘱𑘩𑘿𑘩𑘲 𑘁𑘮𑘹.,30
144,प्रत्येकाने आपली जबाबदारी पार पाडावी.,𑘢𑘿𑘨𑘝𑘿𑘧𑘹𑘎𑘰𑘡𑘹 𑘁𑘢𑘩𑘲 𑘕𑘤𑘰𑘤𑘟𑘰𑘨𑘲 𑘢𑘰𑘨 𑘢𑘰𑘚𑘰𑘪𑘲.,37
145,अंतिम सादरीकरण उत्तम व्हावे यासाठी सराव करावा.,𑘀𑘽𑘝𑘱𑘦 𑘭𑘰𑘟𑘨𑘲𑘎𑘨𑘜 𑘄𑘝𑘿𑘝𑘦 𑘪𑘿𑘮𑘰𑘪𑘹 𑘧𑘰𑘭𑘰𑘙𑘲 𑘭𑘨𑘰𑘪 𑘎𑘨𑘰𑘪𑘰.,46
146,प्रश्न विचारण्यास संकोच करू नये.,𑘢𑘿𑘨𑘫𑘿𑘡 𑘪𑘱𑘓𑘰𑘨𑘜𑘿𑘧𑘰𑘭 𑘭𑘽𑘎𑘻𑘓 𑘎𑘨𑘴 𑘡𑘧𑘹.,32
147,शिकण्याची तयारी असावी.,𑘫𑘱𑘎𑘜𑘿𑘧𑘰𑘓𑘲 𑘝𑘧𑘰𑘨𑘲 𑘀𑘭𑘰𑘪𑘲.,22
148,चुकांमधून शिकणे महत्त्वाचे आहे.,𑘓𑘳𑘎𑘰𑘽𑘦𑘠𑘴𑘡 𑘫𑘱𑘎𑘜𑘹 𑘦𑘮𑘝𑘿𑘝𑘿𑘪𑘰𑘓𑘹 𑘁𑘮𑘹.,31
149,सतत प्रयत्न केल्याने यश मिळते.,𑘭𑘝𑘝 𑘢𑘿𑘨𑘧𑘝𑘿𑘡 𑘎𑘹𑘩𑘿𑘧𑘰𑘡𑘹 𑘧𑘫 𑘦𑘱𑘯𑘝𑘹.,30
150,हार मानू नये.,𑘮𑘰𑘨 𑘦𑘰𑘡𑘴 𑘡𑘧𑘹.,13
151,आत्मपरीक्षण करणे आवश्यक आहे.,𑘁𑘝𑘿𑘦𑘢𑘨𑘲𑘎𑘿𑘬𑘜 𑘎𑘨𑘜𑘹 𑘁𑘪𑘫𑘿𑘧𑘎 𑘁𑘮𑘹.,28
152,नवीन गोष्टी शिकत राहावे.,𑘡𑘪𑘲𑘡 𑘐𑘻𑘬𑘿𑘘𑘲 𑘫𑘱𑘎𑘝 𑘨𑘰𑘮𑘰𑘪𑘹.,24
153,काळाबरोबर बदलणे गरजेचे आहे.,𑘎𑘰𑘯𑘰𑘤𑘨𑘻𑘤𑘨 𑘤𑘟𑘩𑘜𑘹 𑘐𑘨𑘕𑘹𑘓𑘹 𑘁𑘮𑘹.,27
154,जुने ज्ञान जपून नवीन तंत्रज्ञान वापरावे.,𑘕𑘳𑘡𑘹 𑘕𑘿𑘗𑘰𑘡 𑘕𑘢𑘴𑘡 𑘡𑘪𑘲𑘡 𑘝𑘽𑘝𑘿𑘨𑘕𑘿𑘗𑘰𑘡 𑘪𑘰𑘢𑘨𑘰𑘪𑘹.,40
155,इतिहास आणि तंत्रज्ञान यांचा संगम रंजक आहे.,𑘂𑘝𑘱𑘮𑘰𑘭 𑘁𑘜𑘱 𑘝𑘽𑘝𑘿𑘨𑘕𑘿𑘗𑘰𑘡 𑘧𑘰𑘽𑘓𑘰 𑘭𑘽𑘐𑘦 𑘨𑘽𑘕𑘎 𑘁𑘮𑘹.,42
156,या प्रकल्पामुळे मोडी लिपी नव्या पिढीला समजेल.,𑘧𑘰 𑘢𑘿𑘨𑘎𑘩𑘿𑘢𑘰𑘦𑘳𑘯𑘹 𑘦𑘻𑘚𑘲 𑘩𑘱𑘢𑘲 𑘡𑘪𑘿𑘧𑘰 𑘢𑘱𑘛𑘲𑘩𑘰 𑘭𑘦𑘕𑘹𑘩.,45
157,डिजिटल स्वरूपात दस्तऐवज जपले जातील.,𑘚𑘱𑘕𑘱𑘘𑘩 𑘭𑘿𑘪𑘨𑘴𑘢𑘰𑘝 𑘟𑘭𑘿𑘝𑘋𑘪𑘕 𑘕𑘢𑘩𑘹 𑘕𑘰𑘝𑘲𑘩.,35
158,संकेतस्थळावर प्रतिमा आणि मजकूर पाहता येईल.,𑘭𑘽𑘎𑘹𑘝𑘭𑘿𑘞𑘯𑘰𑘪𑘨 𑘢𑘿𑘨𑘝𑘱𑘦𑘰 𑘁𑘜𑘱 𑘦𑘕𑘎𑘴𑘨 𑘢𑘰𑘮𑘝𑘰 𑘧𑘹𑘃𑘩.,42
159,वापरकर्ता प्रतिमा अपलोड करू शकतो.,𑘪𑘰𑘢𑘨𑘎𑘨𑘿𑘝𑘰 𑘢𑘿𑘨𑘝𑘱𑘦𑘰 𑘀𑘢𑘩𑘻𑘚 𑘎𑘨𑘴 𑘫𑘎𑘝𑘻.,33
160,प्रणाली आपोआप मजकूर ओळखेल.,𑘢𑘿𑘨𑘜𑘰𑘩𑘲 𑘁𑘢𑘻𑘁𑘢 𑘦𑘕𑘎𑘴𑘨 𑘌𑘯𑘏𑘹𑘩.,26
161,निकाल स्क्रीनवर दाखवला जाईल.,𑘡𑘱𑘎𑘰𑘩 𑘭𑘿𑘎𑘿𑘨𑘲𑘡𑘪𑘨 𑘟𑘰𑘏𑘪𑘩𑘰 𑘕𑘰𑘃𑘩.,28
162,वापरकर्ता निकाल जतन करू शकतो.,𑘪𑘰𑘢𑘨𑘎𑘨𑘿𑘝𑘰 𑘡𑘱𑘎𑘰𑘩 𑘕𑘝𑘡 𑘎𑘨𑘴 𑘫𑘎𑘝𑘻.,29
163,ही प्रणाली सर्वांसाठी उपयुक्त ठरेल.,𑘮𑘲 𑘢𑘿𑘨𑘜𑘰𑘩𑘲 𑘭𑘨𑘿𑘪𑘰𑘽𑘭𑘰𑘙𑘲 𑘄𑘢𑘧𑘳𑘎𑘿𑘝 𑘙𑘨𑘹𑘩.,35
164,संशोधक आणि विद्यार्थी दोघांनाही याचा फायदा होईल.,𑘭𑘽𑘫𑘻𑘠𑘎 𑘁𑘜𑘱 𑘪𑘱𑘟𑘿𑘧𑘰𑘨𑘿𑘞𑘲 𑘟𑘻𑘑𑘰𑘽𑘡𑘰𑘮𑘲 𑘧𑘰𑘓𑘰 𑘣𑘰𑘧𑘟𑘰 𑘮𑘻𑘃𑘩.,48
165,भविष्यात अधिक दस्तऐवज समाविष्ट केले जातील.,𑘥𑘪𑘱𑘬𑘿𑘧𑘰𑘝 𑘀𑘠𑘱𑘎 𑘟𑘭𑘿𑘝𑘋𑘪𑘕 𑘭𑘦𑘰𑘪𑘱𑘬𑘿𑘘 𑘎𑘹𑘩𑘹 𑘕𑘰𑘝𑘲𑘩.,42
166,प्रकल्पाचा उद्देश वारसा जतन करणे आहे.,𑘢𑘿𑘨𑘎𑘩𑘿𑘢𑘰𑘓𑘰 𑘄𑘟𑘿𑘟𑘹𑘫 𑘪𑘰𑘨𑘭𑘰 𑘕𑘝𑘡 𑘎𑘨𑘜𑘹 𑘁𑘮𑘹.,37
167,आपली संस्कृती पुढील पिढीपर्यंत पोहोचवणे गरजेचे आहे.,𑘁𑘢𑘩𑘲 𑘭𑘽𑘭𑘿𑘎𑘵𑘝𑘲 𑘢𑘳𑘛𑘲𑘩 𑘢𑘱𑘛𑘲𑘢𑘨𑘿𑘧𑘽𑘝 𑘢𑘻𑘮𑘻𑘓𑘪𑘜𑘹 𑘐𑘨𑘕𑘹𑘓𑘹 𑘁𑘮𑘹.,51
168,"एक, दोन, तीन, चार, पाच.","𑘊𑘎, 𑘟𑘻𑘡, 𑘝𑘲𑘡, 𑘓𑘰𑘨, 𑘢𑘰𑘓.",23
169,"सहा, सात, आठ, नऊ, दहा.","𑘭𑘮𑘰, 𑘭𑘰𑘝, 𑘁𑘙, 𑘡𑘅, 𑘟𑘮𑘰.",22
170,शंभर वर्षांपूर्वीची ही घटना आहे.,𑘫𑘽𑘥𑘨 𑘪𑘨𑘿𑘬𑘰𑘽𑘢𑘴𑘨𑘿𑘪𑘲𑘓𑘲 𑘮𑘲 𑘑𑘘𑘡𑘰 𑘁𑘮𑘹.,32
171,हजार लोक या कार्यक्रमाला उपस्थित होते.,𑘮𑘕𑘰𑘨 𑘩𑘻𑘎 𑘧𑘰 𑘎𑘰𑘨𑘿𑘧𑘎𑘿𑘨𑘦𑘰𑘩𑘰 𑘄𑘢𑘭𑘿𑘞𑘱𑘝 𑘮𑘻𑘝𑘹.,38
172,पन्नास गावांचा सर्वे करण्यात आला.,𑘢𑘡𑘿𑘡𑘰𑘭 𑘐𑘰𑘪𑘰𑘽𑘓𑘰 𑘭𑘨𑘿𑘪𑘹 𑘎𑘨𑘜𑘿𑘧𑘰𑘝 𑘁𑘩𑘰.,33
173,गावाची लोकसंख्या पाच हजार आहे.,𑘐𑘰𑘪𑘰𑘓𑘲 𑘩𑘻𑘎𑘭𑘽𑘏𑘿𑘧𑘰 𑘢𑘰𑘓 𑘮𑘕𑘰𑘨 𑘁𑘮𑘹.,30
174,शाळेत दोनशे विद्यार्थी शिकतात.,𑘫𑘰𑘯𑘹𑘝 𑘟𑘻𑘡𑘫𑘹 𑘪𑘱𑘟𑘿𑘧𑘰𑘨𑘿𑘞𑘲 𑘫𑘱𑘎𑘝𑘰𑘝.,30
175,या वर्षी दहा नवीन शिक्षक रुजू झाले.,𑘧𑘰 𑘪𑘨𑘿𑘬𑘲 𑘟𑘮𑘰 𑘡𑘪𑘲𑘡 𑘫𑘱𑘎𑘿𑘬𑘎 𑘨𑘳𑘕𑘴 𑘖𑘰𑘩𑘹.,35
176,कार्यक्रमाला तीस मान्यवर उपस्थित होते.,𑘎𑘰𑘨𑘿𑘧𑘎𑘿𑘨𑘦𑘰𑘩𑘰 𑘝𑘲𑘭 𑘦𑘰𑘡𑘿𑘧𑘪𑘨 𑘄𑘢𑘭𑘿𑘞𑘱𑘝 𑘮𑘻𑘝𑘹.,38
177,सभेला वीस लोक हजर होते.,𑘭𑘥𑘹𑘩𑘰 𑘪𑘲𑘭 𑘩𑘻𑘎 𑘮𑘕𑘨 𑘮𑘻𑘝𑘹.,23
